,id,female,age,school,asvab2,asvab3,asvab4,asvab5,asvab6,asvabc,height,weight85,weight94,sch_moth,sch_fath,siblings,library,pov78,exp,earnings,hours,tenure,collbarg,urban,ethnic,educ,faith,region,cat_emp,marital
10,22.0,female,39.0,16.0,62.0,56.0,59.0,57.0,49.0,61.717712,64.0,115.0,145.0,12.0,12.0,1.0,yes,no,17.903847,14.02,48.0,1.5576923,no,yes,white,degree,protestant,north eastern,government,married
11,25.0,female,42.0,14.0,53.0,51.0,50.0,62.0,60.0,52.993885,67.0,120.0,123.0,14.0,16.0,1.0,yes,no,22.903847,18.5,24.0,23.096153,no,no,white,high school dip,none,north eastern,private,married
12,29.0,female,41.0,12.0,42.0,28.0,50.0,54.0,58.0,40.726006,66.0,125.0,150.0,0.0,4.0,1.0,yes,no,23.346153,29.32,40.0,21.51923,no,yes,white,high school dip,other,north eastern,private,married
13,38.0,female,39.0,12.0,38.0,38.0,44.0,47.0,53.0,39.63553,63.0,118.0,135.0,12.0,12.0,4.0,yes,no,20.557692,28.84,40.0,15.846154,no,no,white,high school dip,catholic,north eastern,government,married
14,39.0,male,43.0,12.0,47.0,46.0,47.0,52.0,31.0,47.541496,72.0,180.0,195.0,12.0,12.0,4.0,yes,no,22.576923,28.84,50.0,17.557692,no,yes,white,high school dip,protestant,southern,private,married
15,41.0,male,40.0,15.0,46.0,54.0,50.0,52.0,56.0,49.99507,73.0,205.0,235.0,10.0,12.0,3.0,yes,yes,20.153847,36.71,55.0,14.711538,no,yes,white,associate degree,catholic,north eastern,private,married
16,42.0,male,38.0,12.0,42.0,38.0,38.0,52.0,45.0,40.180767,72.0,230.0,260.0,14.0,12.0,1.0,yes,no,15.615385,19.4,45.0,10.826923,yes,yes,white,high school dip,catholic,north eastern,private,married
17,43.0,female,41.0,12.0,34.0,35.0,35.0,41.0,47.0,34.183136,64.0,140.0,205.0,10.0,9.0,2.0,yes,yes,10.596154,6.5,20.0,0.5192308,no,yes,white,high school dip,none,north eastern,private,married
18,47.0,male,43.0,12.0,61.0,59.0,56.0,52.0,54.0,61.172474,72.0,198.0,215.0,12.0,16.0,1.0,yes,no,21.711538,25.0,50.0,16.057692,yes,yes,white,high school dip,none,north eastern,private,single
19,49.0,female,44.0,14.0,61.0,52.0,59.0,62.0,71.0,60.081997,69.0,150.0,200.0,12.0,12.0,6.0,yes,no,23.0,19.23,35.0,7.4038463,no,yes,white,associate degree,catholic,north eastern,private,married
20,50.0,female,43.0,12.0,58.0,57.0,62.0,62.0,60.0,60.627235,64.0,190.0,180.0,9.0,10.0,4.0,no,no,21.692308,16.42,40.0,6.980769,no,yes,white,high school dip,catholic,north eastern,private,married
21,61.0,female,39.0,14.0,64.0,61.0,62.0,62.0,65.0,64.98915,66.0,138.0,220.0,12.0,16.0,3.0,yes,no,15.307693,28.38,42.0,14.134615,no,no,white,associate degree,catholic,north eastern,private,married
22,62.0,female,38.0,13.0,42.0,48.0,47.0,49.0,37.0,45.36054,70.0,180.0,268.0,12.0,16.0,3.0,yes,no,19.942308,17.3,30.0,12.826923,no,yes,white,high school dip,catholic,north eastern,private,married
23,66.0,male,38.0,14.0,36.0,46.0,35.0,35.0,38.0,38.27243,67.0,175.0,230.0,12.0,17.0,3.0,yes,,17.096153,15.0,40.0,2.4807692,no,2.0,white,high school dip,catholic,north eastern,private,divorced
24,69.0,male,38.0,18.0,62.0,54.0,56.0,52.0,55.0,60.354614,75.0,175.0,195.0,17.0,16.0,1.0,yes,no,15.826923,32.05,45.0,15.826923,no,yes,white,masters,catholic,north eastern,private,married
25,72.0,female,42.0,16.0,66.0,55.0,56.0,62.0,56.0,62.80819,66.0,155.0,145.0,14.0,16.0,2.0,yes,no,19.961538,15.38,40.0,5.2884617,no,yes,white,degree,protestant,north eastern,government,single
26,73.0,male,38.0,18.0,50.0,60.0,56.0,52.0,54.0,55.447464,70.0,175.0,200.0,16.0,16.0,2.0,yes,no,11.173077,57.69,50.0,1.6923077,no,yes,white,degree,protestant,north eastern,private,single
27,76.0,male,38.0,14.0,46.0,47.0,44.0,42.0,44.0,46.451015,73.0,170.0,200.0,16.0,16.0,3.0,yes,,17.346153,18.25,40.0,1.1346154,yes,yes,white,high school dip,other,north eastern,government,married
28,77.0,female,38.0,16.0,59.0,55.0,62.0,40.0,47.0,60.627235,63.0,135.0,139.0,16.0,16.0,1.0,yes,no,16.134615,29.05,45.0,1.5,no,yes,white,degree,protestant,north eastern,private,single
29,79.0,male,42.0,18.0,65.0,60.0,59.0,61.0,59.0,64.44391,72.0,170.0,180.0,16.0,18.0,2.0,yes,no,15.846154,196.23,49.0,15.942307,no,yes,white,masters,catholic,north eastern,private,married
30,85.0,male,43.0,11.0,34.0,22.0,32.0,20.0,25.0,29.821222,64.0,139.0,165.0,11.0,11.0,7.0,yes,no,9.153846,8.75,40.0,3.7307692,no,yes,black,none,none,north eastern,private,single
31,86.0,female,41.0,9.0,31.0,25.0,32.0,20.0,31.0,29.003365,59.0,140.0,150.0,9.0,9.0,7.0,yes,yes,10.942307,8.5,40.0,1.5,no,yes,black,none,protestant,north eastern,private,single
32,87.0,male,39.0,12.0,38.0,22.0,32.0,25.0,41.0,32.00218,68.0,170.0,159.0,11.0,12.0,7.0,yes,no,18.25,8.5,40.0,3.3269231,no,yes,black,high school dip,protestant,north eastern,private,single
33,88.0,male,45.0,16.0,64.0,59.0,59.0,55.0,63.0,63.62605,72.0,156.0,185.0,12.0,12.0,1.0,yes,,20.346153,12.5,40.0,2.8269231,no,yes,black,degree,protestant,north eastern,private,married
34,89.0,female,43.0,16.0,58.0,60.0,62.0,55.0,56.0,61.44509,67.0,130.0,195.0,12.0,12.0,8.0,yes,no,20.826923,23.07,40.0,2.5576923,no,yes,black,degree,other,north eastern,private,married
35,90.0,male,43.0,16.0,64.0,57.0,56.0,46.0,55.0,62.26295,72.0,156.0,165.0,5.0,4.0,2.0,yes,no,21.153847,44.32,41.0,2.6538463,no,yes,white,degree,catholic,north eastern,private,married
36,91.0,female,38.0,16.0,31.0,39.0,41.0,61.0,59.0,35.273613,67.0,136.0,145.0,5.0,3.0,2.0,yes,no,12.384615,26.44,40.0,10.0,no,yes,white,degree,catholic,north eastern,private,married
37,92.0,female,39.0,12.0,39.0,50.0,53.0,51.0,52.0,45.905777,59.0,140.0,190.0,12.0,12.0,1.0,yes,,17.615385,15.49,35.0,10.826923,yes,yes,white,high school dip,catholic,north eastern,government,divorced
38,97.0,female,44.0,14.0,49.0,59.0,59.0,51.0,52.0,55.447464,67.0,135.0,166.0,12.0,11.0,7.0,yes,no,13.788462,22.78,40.0,0.78846157,no,no,white,high school dip,catholic,north eastern,private,married
39,106.0,male,41.0,16.0,66.0,61.0,53.0,62.0,60.0,63.62605,68.0,185.0,183.0,12.0,9.0,1.0,yes,no,19.115385,32.05,48.0,9.442307,no,no,white,degree,catholic,north eastern,private,married
40,107.0,male,40.0,16.0,51.0,56.0,50.0,62.0,65.0,53.266506,70.0,154.0,190.0,11.0,9.0,2.0,yes,no,17.076923,20.74,38.0,8.192307,no,no,white,degree,protestant,north eastern,government,married
41,111.0,female,42.0,12.0,42.0,56.0,53.0,38.0,60.0,49.17721,60.0,132.0,170.0,11.0,10.0,3.0,yes,no,12.923077,16.34,40.0,7.730769,no,no,white,high school dip,catholic,north eastern,government,married
42,112.0,female,38.0,11.0,39.0,50.0,50.0,46.0,42.0,45.087917,68.0,130.0,150.0,12.0,8.0,3.0,yes,no,16.538462,10.05,20.0,1.0384616,no,yes,white,none,catholic,north eastern,government,divorced
43,117.0,male,43.0,15.0,65.0,61.0,62.0,52.0,41.0,65.534386,71.0,195.0,240.0,10.0,12.0,2.0,yes,no,21.192308,20.16,50.0,27.0,no,no,white,other,other,north eastern,private,married
44,119.0,male,45.0,16.0,35.0,56.0,56.0,37.0,42.0,46.1784,71.0,155.0,178.0,11.0,8.0,2.0,no,no,19.923077,18.75,40.0,6.769231,no,yes,white,high school dip,other,north eastern,private,single
45,121.0,female,37.0,17.0,54.0,60.0,59.0,60.0,52.0,58.446278,65.0,156.0,180.0,17.0,15.0,2.0,yes,no,14.096154,17.92,40.0,3.8461537,no,yes,white,degree,catholic,north eastern,private,single
46,125.0,male,45.0,13.0,47.0,42.0,44.0,44.0,42.0,45.63316,71.0,173.0,130.0,12.0,14.0,7.0,yes,no,14.115385,10.0,18.0,1.6923077,no,yes,white,high school dip,catholic,north eastern,private,single
47,129.0,male,41.0,16.0,64.0,59.0,59.0,41.0,44.0,63.62605,70.0,160.0,195.0,13.0,14.0,3.0,yes,no,17.26923,26.92,50.0,19.461538,yes,yes,white,degree,catholic,north eastern,government,single
48,135.0,male,38.0,16.0,45.0,44.0,53.0,49.0,49.0,47.541496,67.0,175.0,190.0,9.0,12.0,5.0,yes,,17.307692,28.0,40.0,9.038462,no,yes,white,high school dip,catholic,north eastern,private,married
49,137.0,female,40.0,16.0,64.0,56.0,56.0,62.0,67.0,61.990334,66.0,120.0,138.0,13.0,16.0,4.0,yes,no,14.730769,40.72,51.0,1.7884616,no,yes,white,degree,catholic,north eastern,government,married
50,139.0,male,38.0,15.0,58.0,56.0,59.0,49.0,50.0,59.536755,68.0,170.0,155.0,16.0,16.0,4.0,yes,no,15.653846,28.84,50.0,7.8653846,no,yes,white,high school dip,catholic,southern,private,married
51,140.0,female,43.0,17.0,51.0,60.0,59.0,49.0,53.0,56.810562,70.0,160.0,190.0,15.0,12.0,1.0,yes,no,17.326923,27.43,35.0,22.038462,yes,yes,white,masters,catholic,north eastern,government,married
52,141.0,female,39.0,18.0,54.0,60.0,59.0,51.0,50.0,58.446278,64.0,130.0,130.0,12.0,16.0,2.0,yes,no,8.557693,20.0,50.0,3.2115386,no,yes,white,degree,other,north eastern,private,single
53,145.0,male,39.0,12.0,47.0,56.0,53.0,52.0,45.0,51.903408,69.0,140.0,150.0,12.0,12.0,3.0,yes,no,15.884615,9.0,35.0,0.65384614,no,yes,white,high school dip,catholic,north eastern,private,single
54,146.0,male,38.0,12.0,65.0,57.0,53.0,46.0,46.0,61.990334,68.0,165.0,175.0,12.0,12.0,3.0,yes,no,13.884615,18.8,45.0,3.0192308,no,yes,white,high school dip,catholic,southern,private,divorced
55,147.0,female,41.0,14.0,39.0,46.0,47.0,59.0,62.0,43.17958,61.0,122.0,125.0,10.0,12.0,0.0,yes,no,14.711538,3.84,25.0,5.826923,yes,yes,white,high school dip,other,north eastern,private,married
56,148.0,male,39.0,12.0,58.0,55.0,56.0,48.0,50.0,58.446278,71.0,231.0,260.0,12.0,12.0,2.0,yes,no,21.076923,17.5,45.0,17.865385,no,yes,white,high school dip,protestant,north eastern,private,single
57,149.0,female,38.0,12.0,45.0,44.0,47.0,50.0,53.0,45.905777,65.0,130.0,170.0,11.0,12.0,2.0,yes,no,19.942308,37.11,40.0,17.846153,no,yes,white,high school dip,protestant,north eastern,private,married
58,155.0,male,38.0,9.0,40.0,51.0,47.0,52.0,51.0,45.087917,69.0,165.0,185.0,12.0,12.0,3.0,yes,no,19.461538,20.83,60.0,0.1923077,no,yes,white,high school dip,catholic,north eastern,private,divorced
59,160.0,female,42.0,14.0,64.0,56.0,56.0,58.0,58.0,61.990334,67.0,170.0,200.0,8.0,8.0,3.0,yes,no,21.115385,27.0,40.0,20.634615,yes,yes,white,associate degree,catholic,north eastern,government,married
60,162.0,male,41.0,18.0,65.0,61.0,59.0,53.0,59.0,64.71653,71.0,150.0,180.0,16.0,17.0,2.0,yes,no,13.211538,28.84,48.0,0.42307693,no,yes,white,masters,protestant,north central,government,married
61,166.0,male,40.0,13.0,54.0,52.0,50.0,61.0,55.0,53.811745,70.0,220.0,210.0,10.0,12.0,3.0,yes,no,20.076923,23.07,45.0,15.346154,no,no,white,high school dip,catholic,north eastern,private,married
62,171.0,male,40.0,16.0,62.0,57.0,50.0,62.0,34.0,59.536755,69.0,170.0,200.0,13.0,12.0,0.0,yes,no,15.365385,31.15,50.0,6.6153846,no,yes,white,degree,other,western,private,married
63,174.0,female,42.0,13.0,49.0,54.0,53.0,50.0,53.0,52.448647,65.0,116.0,148.0,13.0,12.0,1.0,yes,no,22.48077,20.62,40.0,14.634615,no,yes,hispanic,high school dip,catholic,north eastern,private,married
64,185.0,male,37.0,12.0,46.0,52.0,56.0,38.0,41.0,51.08555,72.0,160.0,175.0,12.0,12.0,3.0,yes,no,17.673077,10.85,25.0,1.0384616,yes,yes,white,high school dip,protestant,north eastern,private,single
65,186.0,female,43.0,18.0,59.0,56.0,62.0,62.0,58.0,60.899853,65.0,138.0,168.0,12.0,12.0,2.0,yes,no,17.826923,35.0,40.0,14.211538,no,yes,white,associate degree,catholic,north eastern,private,married
66,189.0,male,43.0,16.0,58.0,51.0,56.0,46.0,50.0,57.3558,74.0,170.0,183.0,10.0,12.0,2.0,yes,,13.480769,66.14,45.0,2.2692308,no,yes,white,degree,catholic,southern,private,single
67,190.0,female,40.0,18.0,53.0,56.0,56.0,50.0,65.0,55.992702,63.0,118.0,160.0,16.0,17.0,2.0,yes,no,10.153846,32.47,45.0,3.8653846,no,yes,white,masters,other,north eastern,government,divorced
68,191.0,male,38.0,19.0,51.0,56.0,62.0,61.0,55.0,56.53794,68.0,142.0,170.0,16.0,17.0,2.0,yes,no,13.038462,37.11,57.0,1.0961539,no,yes,white,professional,other,north eastern,private,married
69,192.0,female,39.0,16.0,53.0,56.0,53.0,56.0,50.0,55.174843,61.0,110.0,125.0,12.0,12.0,1.0,yes,no,12.961538,33.33,15.0,0.8269231,no,yes,white,degree,catholic,north eastern,private,married
70,193.0,male,44.0,16.0,51.0,54.0,50.0,54.0,58.0,52.721268,68.0,155.0,183.0,12.0,12.0,1.0,yes,no,21.288462,42.59,40.0,1.5961539,no,yes,white,degree,catholic,north eastern,private,married
71,195.0,male,43.0,18.0,64.0,59.0,59.0,62.0,60.0,63.62605,72.0,160.0,185.0,10.0,16.0,1.0,yes,no,16.846153,67.3,60.0,4.173077,no,yes,white,masters,protestant,western,private,married
72,196.0,male,37.0,18.0,64.0,56.0,62.0,62.0,61.0,63.62605,72.0,165.0,215.0,20.0,16.0,1.0,yes,no,13.903846,57.26,45.0,1.3846154,no,yes,white,masters,catholic,north eastern,private,married
73,197.0,female,39.0,12.0,40.0,37.0,35.0,53.0,52.0,37.99981,62.0,108.0,128.0,11.0,12.0,3.0,yes,no,11.0,8.0,40.0,1.0769231,no,yes,white,high school dip,catholic,southern,private,divorced
74,198.0,male,39.0,18.0,57.0,51.0,44.0,62.0,57.0,53.539127,70.0,155.0,185.0,16.0,17.0,1.0,yes,no,16.326923,34.02,52.0,19.788462,no,yes,white,degree,protestant,western,private,married
75,199.0,male,43.0,12.0,34.0,51.0,38.0,53.0,54.0,39.362907,66.0,170.0,180.0,12.0,12.0,2.0,yes,no,22.153847,20.0,45.0,5.75,no,yes,white,high school dip,catholic,north eastern,private,married
76,200.0,female,43.0,12.0,42.0,38.0,56.0,50.0,69.0,45.087917,63.0,105.0,112.0,16.0,12.0,2.0,yes,no,16.673077,3.3,32.0,1.25,no,yes,white,high school dip,catholic,north eastern,private,married
77,201.0,male,45.0,16.0,65.0,61.0,56.0,62.0,60.0,63.89867,70.0,165.0,195.0,13.0,20.0,1.0,yes,no,20.192308,105.7,55.0,5.4423075,no,no,white,degree,catholic,north eastern,private,married
78,207.0,male,38.0,12.0,49.0,31.0,32.0,44.0,38.0,40.453384,70.0,178.0,235.0,9.0,10.0,2.0,no,no,17.826923,16.95,40.0,3.4807692,no,yes,white,none,catholic,north eastern,private,married
79,210.0,male,39.0,16.0,47.0,48.0,53.0,62.0,57.0,49.72245,70.0,165.0,179.0,12.0,12.0,2.0,yes,no,15.769231,17.0,40.0,0.42307693,yes,yes,white,degree,catholic,north eastern,government,married
80,213.0,male,39.0,16.0,65.0,60.0,62.0,62.0,55.0,65.261765,72.0,155.0,164.0,12.0,16.0,3.0,yes,,16.807692,19.68,42.0,0.88461536,no,yes,white,degree,catholic,north eastern,government,single
81,218.0,male,45.0,16.0,64.0,60.0,56.0,52.0,56.0,63.08081,67.0,150.0,155.0,12.0,12.0,2.0,yes,no,23.211538,123.93,45.0,5.826923,no,yes,white,degree,jewish,north eastern,private,married
82,219.0,female,42.0,20.0,55.0,52.0,56.0,56.0,60.0,55.992702,65.0,110.0,130.0,12.0,11.0,1.0,yes,no,16.153847,34.61,40.0,20.673077,yes,yes,white,masters,protestant,north eastern,government,married
83,220.0,female,40.0,20.0,62.0,56.0,59.0,62.0,72.0,61.717712,67.0,110.0,130.0,12.0,12.0,1.0,yes,no,13.692307,47.0,35.0,4.519231,no,yes,white,masters,protestant,north eastern,private,married
84,227.0,female,44.0,12.0,36.0,29.0,38.0,40.0,29.0,34.455757,63.0,135.0,160.0,9.0,9.0,4.0,yes,yes,6.269231,7.5,30.0,6.4038463,no,yes,black,high school dip,protestant,north eastern,private,married
85,229.0,female,39.0,11.0,45.0,46.0,59.0,53.0,60.0,49.72245,67.0,160.0,145.0,8.0,9.0,1.0,yes,no,14.307693,12.5,50.0,1.2884616,yes,yes,white,none,catholic,north eastern,private,divorced
86,232.0,male,40.0,14.0,46.0,57.0,53.0,52.0,49.0,51.630787,69.0,150.0,146.0,10.0,14.0,3.0,yes,no,20.51923,17.05,40.0,7.5961537,yes,no,white,associate degree,catholic,north eastern,government,single
87,233.0,male,38.0,12.0,43.0,39.0,35.0,47.0,48.0,40.180767,70.0,150.0,200.0,10.0,15.0,3.0,no,no,17.826923,21.25,40.0,10.653846,yes,no,white,high school dip,catholic,north eastern,private,married
88,235.0,male,39.0,15.0,55.0,50.0,47.0,54.0,53.0,52.993885,68.0,178.0,174.0,12.0,12.0,3.0,yes,no,18.173077,33.65,40.0,14.115385,yes,no,white,associate degree,protestant,north eastern,government,married
89,236.0,female,40.0,13.0,50.0,55.0,59.0,62.0,54.0,54.90222,65.0,135.0,170.0,9.0,12.0,1.0,yes,no,20.442308,18.77,42.0,4.7115383,no,no,white,high school dip,catholic,north eastern,private,married
90,242.0,female,43.0,12.0,39.0,51.0,47.0,52.0,58.0,44.54268,66.0,145.0,170.0,12.0,12.0,2.0,no,no,22.51923,25.64,45.0,5.4038463,no,yes,white,high school dip,protestant,western,private,divorced
91,243.0,male,43.0,12.0,61.0,57.0,50.0,51.0,53.0,58.991516,72.0,215.0,225.0,12.0,12.0,3.0,yes,no,23.134615,22.96,35.0,4.9615383,yes,2.0,white,high school dip,protestant,north eastern,private,divorced
92,244.0,female,45.0,12.0,58.0,60.0,59.0,53.0,57.0,60.627235,62.0,155.0,230.0,16.0,7.0,4.0,yes,no,18.057692,7.0,15.0,4.6153846,yes,no,white,high school dip,protestant,north eastern,government,married
93,245.0,female,39.0,14.0,65.0,55.0,56.0,62.0,62.0,62.26295,64.0,100.0,125.0,14.0,12.0,3.0,no,no,19.557692,19.85,20.0,17.73077,no,no,white,associate degree,catholic,north eastern,private,married
94,248.0,male,41.0,12.0,36.0,41.0,38.0,37.0,35.0,37.727192,72.0,160.0,190.0,16.0,8.0,4.0,yes,yes,13.673077,8.0,50.0,0.5576923,no,yes,white,high school dip,none,north eastern,private,divorced
95,249.0,female,39.0,17.0,58.0,38.0,47.0,61.0,49.0,51.35817,65.0,140.0,200.0,12.0,12.0,4.0,yes,yes,12.769231,6.5,12.0,2.25,no,yes,white,associate degree,protestant,north eastern,private,married
96,253.0,male,37.0,11.0,46.0,46.0,26.0,35.0,41.0,41.271244,66.0,175.0,172.0,8.0,12.0,2.0,yes,no,12.557693,9.65,40.0,8.038462,yes,yes,white,none,catholic,north eastern,private,single
97,254.0,female,41.0,12.0,66.0,59.0,59.0,62.0,65.0,64.71653,64.0,120.0,130.0,11.0,8.0,4.0,yes,no,19.288462,13.02,38.0,16.76923,yes,yes,white,high school dip,catholic,north eastern,private,divorced
98,256.0,female,40.0,13.0,49.0,51.0,59.0,50.0,60.0,53.266506,64.0,120.0,114.0,11.0,9.0,2.0,yes,no,17.596153,13.0,32.0,0.09615385,no,no,white,high school dip,catholic,southern,private,married
99,258.0,female,44.0,14.0,65.0,60.0,59.0,62.0,64.0,64.44391,66.0,200.0,177.0,14.0,12.0,3.0,yes,no,14.903846,10.25,43.0,0.07692308,no,yes,white,associate degree,catholic,north eastern,private,divorced
100,260.0,male,41.0,14.0,61.0,60.0,53.0,62.0,56.0,60.627235,68.0,195.0,172.0,12.0,18.0,3.0,yes,no,20.384615,23.07,40.0,21.076923,no,yes,white,associate degree,catholic,north eastern,private,married
101,269.0,male,43.0,16.0,61.0,57.0,59.0,48.0,50.0,61.44509,69.0,135.0,170.0,12.0,18.0,0.0,yes,no,21.461538,86.53,50.0,6.769231,no,yes,white,degree,catholic,north eastern,private,married
102,273.0,male,42.0,15.0,57.0,59.0,47.0,61.0,57.0,56.53794,72.0,176.0,220.0,12.0,12.0,6.0,yes,no,21.73077,16.15,50.0,0.34615386,yes,yes,white,associate degree,catholic,southern,private,married
103,274.0,male,41.0,13.0,65.0,57.0,59.0,54.0,51.0,63.62605,76.0,205.0,240.0,15.0,18.0,6.0,yes,yes,17.75,18.85,40.0,15.615385,yes,yes,white,high school dip,catholic,north eastern,private,married
104,276.0,female,40.0,12.0,50.0,50.0,56.0,47.0,44.0,52.721268,64.0,108.0,112.0,12.0,13.0,1.0,yes,no,22.365385,10.75,40.0,5.6153846,no,yes,white,high school dip,catholic,north eastern,private,married
105,277.0,male,42.0,12.0,42.0,47.0,47.0,52.0,59.0,45.087917,70.0,135.0,178.0,16.0,13.0,2.0,yes,,21.423077,10.0,35.0,14.019231,no,yes,white,high school dip,catholic,north eastern,private,single
106,278.0,female,42.0,13.0,51.0,46.0,56.0,55.0,61.0,52.17603,63.0,120.0,180.0,12.0,10.0,2.0,yes,no,17.846153,6.0,25.0,0.23076923,no,2.0,white,high school dip,catholic,north eastern,private,married
107,279.0,male,39.0,12.0,45.0,60.0,50.0,46.0,45.0,51.08555,72.0,210.0,192.0,12.0,14.0,1.0,no,no,20.884615,19.87,45.0,18.557692,no,no,white,high school dip,catholic,southern,private,married
108,281.0,male,40.0,18.0,65.0,54.0,50.0,62.0,51.0,60.354614,75.0,195.0,190.0,13.0,13.0,3.0,yes,no,15.423077,36.85,48.0,12.807693,no,yes,white,masters,catholic,north eastern,private,married
109,282.0,female,38.0,16.0,59.0,51.0,59.0,62.0,54.0,58.7189,64.0,130.0,140.0,13.0,13.0,3.0,yes,no,10.903846,7.15,10.0,3.7884614,no,yes,white,degree,catholic,north eastern,private,married
110,284.0,male,42.0,12.0,47.0,55.0,53.0,42.0,46.0,51.630787,65.0,140.0,155.0,8.0,11.0,5.0,yes,no,19.076923,31.0,55.0,8.269231,yes,no,hispanic,associate degree,catholic,north eastern,private,single
111,285.0,female,41.0,10.0,35.0,33.0,44.0,60.0,50.0,36.63671,61.0,137.0,140.0,8.0,12.0,5.0,yes,no,21.75,7.37,60.0,1.6538461,no,no,hispanic,none,catholic,southern,private,married
112,287.0,female,43.0,12.0,40.0,51.0,50.0,60.0,56.0,45.905777,69.0,160.0,180.0,10.0,8.0,3.0,yes,no,18.711538,13.04,40.0,16.192308,no,yes,white,high school dip,catholic,north eastern,private,married
113,288.0,female,40.0,12.0,39.0,38.0,44.0,49.0,50.0,40.180767,65.0,146.0,190.0,10.0,9.0,4.0,yes,no,4.576923,8.7,38.0,4.4615383,no,yes,white,high school dip,catholic,north eastern,private,single
114,289.0,female,39.0,12.0,34.0,46.0,53.0,49.0,58.0,42.089104,67.0,155.0,150.0,11.0,8.0,4.0,yes,no,10.134615,8.0,40.0,6.980769,no,yes,white,high school dip,catholic,north eastern,private,single
115,290.0,female,42.0,10.0,38.0,30.0,38.0,37.0,49.0,35.81885,64.0,149.0,175.0,6.0,7.0,11.0,yes,no,12.538462,7.8,32.0,6.8461537,no,yes,hispanic,none,catholic,north eastern,private,married
116,292.0,female,45.0,18.0,66.0,57.0,62.0,60.0,57.0,64.98915,65.0,115.0,138.0,12.0,12.0,2.0,yes,no,14.038462,13.83,55.0,4.8461537,yes,yes,white,masters,protestant,north eastern,government,married
117,293.0,female,43.0,13.0,66.0,61.0,56.0,49.0,54.0,64.44391,64.0,131.0,130.0,12.0,12.0,2.0,yes,no,16.346153,10.09,40.0,4.3076925,no,no,white,high school dip,protestant,southern,government,married
118,308.0,male,40.0,12.0,40.0,38.0,26.0,46.0,42.0,35.81885,68.0,140.0,150.0,12.0,12.0,1.0,yes,no,19.903847,15.0,39.0,2.3461537,no,yes,white,high school dip,protestant,southern,private,married
119,309.0,male,43.0,13.0,55.0,38.0,44.0,41.0,44.0,48.904594,70.0,150.0,165.0,12.0,12.0,5.0,yes,no,22.596153,27.19,45.0,9.942307,yes,yes,white,high school dip,catholic,north eastern,private,married
120,316.0,male,38.0,12.0,39.0,34.0,47.0,47.0,44.0,39.908146,67.0,130.0,150.0,12.0,12.0,2.0,yes,,16.538462,13.0,40.0,5.5961537,no,yes,white,none,catholic,north eastern,private,married
121,317.0,male,42.0,16.0,59.0,61.0,53.0,56.0,54.0,59.809376,73.0,170.0,200.0,12.0,18.0,2.0,yes,no,20.75,11.5,50.0,20.865385,no,no,white,degree,protestant,north eastern,private,married
